Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,3418,,,Total Duration(ms)
2019-05-22T12:07:38.478-0400,232,311,80,630,,,,,,,,,598
2019-05-22T12:07:39.109-0400,281,714,389,1388,,,,,,,,,598
2019-05-22T12:07:40.498-0400,280,299,210,794,,,,,,,,,599
2019-05-22T12:07:41.292-0400,243,384,76,706,,,,,,,,,599
2019-05-22T12:07:41.998-0400,275,677,83,1042,,,,,,,,,599
2019-05-22T12:07:43.040-0400,294,322,166,786,,,,,,,,,599
2019-05-22T12:07:43.827-0400,217,288,66,576,,,,,,,,,599
2019-05-22T12:07:44.403-0400,190,767,153,1112,,,,,,,,,600
2019-05-22T12:07:45.516-0400,201,317,68,593,,,,,,,,,600
2019-05-22T12:07:46.109-0400,219,349,409,986,,,,,,,,,600
2019-05-22T12:07:47.095-0400,208,863,109,1181,,,,,,,,,600
2019-05-22T12:07:48.277-0400,235,375,141,754,,,,,,,,,601
2019-05-22T12:07:49.032-0400,228,307,65,604,,,,,,,,,601
2019-05-22T12:07:49.637-0400,214,732,83,1033,,,,,,,,,601
2019-05-22T12:07:50.670-0400,219,454,76,755,,,,,,,,,601
2019-05-22T12:07:51.426-0400,272,567,94,938,,,,,,,,,601
2019-05-22T12:07:52.365-0400,261,583,95,942,,,,,,,,,601
2019-05-22T12:07:53.307-0400,248,545,181,977,,,,,,,,,601
2019-05-22T12:07:54.285-0400,239,551,68,860,,,,,,,,,602
2019-05-22T12:07:55.145-0400,243,664,1279,2193,,,,,,,,,602
2019-05-22T12:07:57.339-0400,222,861,58,1143,,,,,,,,,602
2019-05-22T12:07:58.482-0400,289,280,1759,2329,,,,,,,,,602
