Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,6572
2019-05-23T20:22:09.573-0400,292,103,23,420,,,,,,
2019-05-23T20:22:09.993-0400,288,294,131,716,,,,,,
2019-05-23T20:22:10.710-0400,280,500,132,923,,,,,,
2019-05-23T20:22:11.633-0400,283,291,133,709,,,,,,
2019-05-23T20:22:12.343-0400,283,116,22,423,,,,,,
2019-05-23T20:22:12.766-0400,289,325,134,749,,,,,,
2019-05-23T20:22:13.516-0400,297,262,125,697,,,,,,
2019-05-23T20:22:14.214-0400,290,279,135,705,,,,,,
2019-05-23T20:22:14.920-0400,290,236,138,677,,,,,,
2019-05-23T20:22:15.598-0400,285,291,387,973,,,,,,
2019-05-23T20:22:16.571-0400,276,225,142,645,,,,,,
2019-05-23T20:22:17.216-0400,264,324,125,721,,,,,,
2019-05-23T20:22:17.938-0400,301,314,136,765,,,,,,
2019-05-23T20:22:18.704-0400,267,328,130,726,,,,,,
2019-05-23T20:22:19.431-0400,275,101,22,399,,,,,,
2019-05-23T20:22:19.831-0400,281,252,133,679,,,,,,
2019-05-23T20:22:20.510-0400,276,296,141,714,,,,,,
2019-05-23T20:22:21.224-0400,278,217,128,624,,,,,,
2019-05-23T20:22:21.849-0400,275,252,124,664,,,,,,
2019-05-23T20:22:22.513-0400,286,290,127,704,,,,,,
2019-05-23T20:22:23.218-0400,305,234,130,682,,,,,,
2019-05-23T20:22:23.901-0400,326,261,137,725,,,,,,
2019-05-23T20:22:24.627-0400,292,272,133,713,,,,,,
2019-05-23T20:22:25.340-0400,316,98,19,434,,,,,,
2019-05-23T20:22:25.775-0400,276,514,128,930,,,,,,
2019-05-23T20:22:26.706-0400,290,266,126,691,,,,,,
2019-05-23T20:22:27.397-0400,285,304,128,719,,,,,,
2019-05-23T20:22:28.117-0400,283,101,20,405,,,,,,
2019-05-23T20:22:28.523-0400,295,289,144,740,,,,,,
2019-05-23T20:22:29.263-0400,296,321,132,751,,,,,,
2019-05-23T20:22:30.014-0400,309,298,133,742,,,,,,
2019-05-23T20:22:30.757-0400,280,406,152,849,,,,,,
2019-05-23T20:22:31.606-0400,282,477,236,1008,,,,,,
2019-05-23T20:22:32.615-0400,300,474,136,923,,,,,,
2019-05-23T20:22:33.538-0400,277,290,130,697,,,,,,
2019-05-23T20:22:34.236-0400,282,295,122,710,,,,,,
2019-05-23T20:22:34.947-0400,276,331,136,756,,,,,,
2019-05-23T20:22:35.704-0400,283,335,130,759,,,,,,
2019-05-23T20:22:36.464-0400,280,294,127,702,,,,,,
2019-05-23T20:22:37.166-0400,276,291,135,715,,,,,,
2019-05-23T20:22:37.882-0400,276,99,19,396,,,,,,
2019-05-23T20:22:38.279-0400,280,249,139,683,,,,,,
2019-05-23T20:22:38.962-0400,291,295,137,725,,,,,,
2019-05-23T20:22:39.687-0400,354,233,251,839,,,,,,
2019-05-23T20:22:40.527-0400,308,285,142,736,,,,,,
2019-05-23T20:22:41.263-0400,283,547,122,966,,,,,,
2019-05-23T20:22:42.229-0400,288,330,129,748,,,,,,
2019-05-23T20:22:42.978-0400,295,268,135,712,,,,,,
2019-05-23T20:22:43.690-0400,288,110,23,422,,,,,,
2019-05-23T20:22:44.113-0400,299,349,134,783,,,,,,
2019-05-23T20:22:44.897-0400,297,109,27,434,,,,,,
2019-05-23T20:22:45.363-0400,296,101,22,421,,,,,,
2019-05-23T20:22:45.785-0400,276,297,134,708,,,,,,
2019-05-23T20:22:46.493-0400,292,320,136,749,,,,,,
2019-05-23T20:22:47.243-0400,286,237,137,672,,,,,,
2019-05-23T20:22:47.915-0400,286,349,137,784,,,,,,
2019-05-23T20:22:48.700-0400,269,251,124,658,,,,,,
2019-05-23T20:22:49.359-0400,279,318,132,730,,,,,,
2019-05-23T20:22:50.090-0400,276,301,132,711,,,,,,
2019-05-23T20:22:50.801-0400,275,394,168,838,,,,,,
2019-05-23T20:22:51.640-0400,299,267,131,698,,,,,,
2019-05-23T20:22:52.338-0400,277,237,138,665,,,,,,
